config_index,K_Eh,Vavg_Eh,Etotal_Eh
0,0.0004274003755803565,-76.46034158550334,-76.45991418512776
1,0.0004274406816417336,-76.45917153659667,-76.45874409591502
2,0.0004274115911111787,-76.45915424417669,-76.45872683258558
3,0.0004273749773209459,-76.46251052491334,-76.46208314993602
4,0.0004273287524732423,-76.46172926050667,-76.46130193175419
5,0.00042739487135690134,-76.46215478830332,-76.46172739343197
6,0.0004273873558043864,-76.46224642319335,-76.46181903583755
7,0.0004273953357123988,-76.46121282692002,-76.46078543158431
8,0.0004274287436177715,-76.46016902476,-76.45974159601639
9,0.0004274309071512279,-76.46044103742665,-76.4600136065195
10,0.00042739709429002104,-76.46347372383333,-76.46304632673905
11,0.0004273881509044199,-76.46240810894334,-76.46198072079243
12,0.0004273839951421516,-76.46115934034334,-76.4607319563482
13,0.00042741557687954104,-76.4630690825,-76.46264166692312
14,0.00042736579600343203,-76.46243307413002,-76.46200570833402
15,0.0004273954414360245,-76.46085995701667,-76.46043256157523
16,0.0004274148742096608,-76.46268243264998,-76.46225501777577
17,0.0004274147165664862,-76.46221847101333,-76.46179105629676
18,0.00042739236128525385,-76.46260491453002,-76.46217752216873
19,0.0004274026618661896,-76.46216260507668,-76.46173520241481
20,0.00042743126919432556,-76.46379648954999,-76.4633690582808
21,0.0004273969608436415,-76.46205638096667,-76.46162898400583
22,0.00042735757647725277,-76.46249082433333,-76.46206346675685
23,0.00042742075623601004,-76.46235236434333,-76.46192494358709
24,0.0004273573140359725,-76.46130022939666,-76.46087287208262
25,0.00042741527395788806,-76.46293003083333,-76.46250261555937
26,0.000427401406024852,-76.45929353068665,-76.45886612928062
27,0.0004273945284230519,-76.46059732192333,-76.4601699273949
28,0.00042741973873499674,-76.46233049198001,-76.46190307224127
29,0.0004274464547301678,-76.46321145231666,-76.46278400586192
30,0.00042741202862597004,-76.46374068411667,-76.46331327208804
31,0.0004274134627375759,-76.46207175336001,-76.46164433989728
32,0.0004273948118367881,-76.46140146729334,-76.4609740724815
33,0.00042734177371082986,-76.45380128546334,-76.45337394368963
34,0.00042738758184374044,-76.45976981394334,-76.4593424263615
35,0.0004273840692222329,-76.46375227993,-76.46332489586078
36,0.00042741415706683657,-76.46238712365,-76.46195970949293
37,0.0004273883037465847,-76.46134031476666,-76.46091292646291
38,0.00042743123267451435,-76.45605601195001,-76.45562858071733
39,0.0004274193258183052,-76.46064428821335,-76.46021686888753
40,0.0004274068840167025,-76.46362050341332,-76.46319309652931
41,0.00042741132678664765,-76.46317723410998,-76.4627498227832
42,0.00042733573120072224,-76.45777974185333,-76.45735240612213
43,0.00042742802740213936,-76.46421625845002,-76.46378883042262
44,0.0004274015227788752,-76.46375370394,-76.46332630241722
45,0.0004273963555456255,-76.45985874774665,-76.4594313513911
46,0.00042739721323097377,-76.45895945101333,-76.4585320538001
47,0.0004273835992877741,-76.46251644781,-76.46208906421072
48,0.00042740339542975684,-76.46370207244999,-76.46327466905456
49,0.00042735677875208234,-76.46055269874668,-76.46012534196792
50,0.00042742174323903514,-76.46267110637665,-76.4622436846334
51,0.0004273235110119995,-76.46008673745,-76.45965941393898
52,0.0004274114215646105,-76.45912374386667,-76.4586963324451
53,0.00042735669138787777,-76.46046302918668,-76.4600356724953
54,0.00042739340648611623,-76.46283517500999,-76.4624077816035
55,0.000427421252731116,-76.46093332315333,-76.46050590190059
56,0.00042735914597161976,-76.46113401967666,-76.46070666053069
57,0.00042737914655695063,-76.46230570801335,-76.46187832886679
58,0.000427401702261844,-76.46136873547,-76.46094133376774
59,0.0004274099360060473,-76.46282873045668,-76.46240132052067
60,0.00042738368724451123,-76.46175106009,-76.46132367640276
61,0.00042740977638743276,-76.46174655078666,-76.46131914101026
62,0.00042739535018382,-76.46279688301334,-76.46236948766315
63,0.00042739298620508414,-76.46277232753667,-76.46234493455046
64,0.00042741292364779194,-76.46200282745002,-76.46157541452638
65,0.0004274408579196415,-76.46387082591998,-76.46344338506206
66,0.000427337309320113,-76.46046873381998,-76.46004139651066
67,0.00042741421432456334,-76.46242773068334,-76.46200031646902
68,0.00042735799056517254,-76.46126600442332,-76.46083864643276
69,0.0004274076400533733,-76.46218609709668,-76.46175868945663
70,0.00042739125926416206,-76.46277611901999,-76.46234872776073
71,0.00042740593919246507,-76.46189669116,-76.46146928522082
72,0.0004273852825188046,-76.46171491669666,-76.46128753141414
73,0.0004274277920754921,-76.45894057395334,-76.45851314616127
74,0.00042743201216590776,-76.46309824645331,-76.46267081444115
75,0.0004274068840167025,-76.46362050341332,-76.46319309652931
76,0.00042740493839920544,-76.46266451048668,-76.46223710554828
77,0.00042740339542975684,-76.46370207244999,-76.46327466905456
78,0.00042741671721742885,-76.46424739044669,-76.46381997372947
79,0.00042743295039463056,-76.46308423875334,-76.46265680580295
80,0.0004274296388629144,-76.45993144944332,-76.45950401980446
81,0.0004274109119653976,-76.46321438774999,-76.46278697683802
82,0.0004274078685998007,-76.46120793598,-76.4607805281114
83,0.0004273967689045414,-76.46080944679332,-76.46038205002442
84,0.0004274057737228783,-76.46106085628001,-76.4606334505063
85,0.00042742232640871755,-76.4630670734,-76.46263965107359
86,0.00042742236990255564,-76.46082945699335,-76.46040203462346
87,0.0004274076663349094,-76.46050577285332,-76.46007836518699
88,0.0004274015115156522,-76.46114000236001,-76.4607126008485
89,0.0004274012561123777,-76.45997740823665,-76.45955000698054
90,0.000427382753361256,-76.46188733995665,-76.46145995720329
91,0.00042743237856125856,-76.46129205400332,-76.46086462162476
92,0.0004273755382763668,-76.46216215822332,-76.46173478268504
93,0.00042737315035364657,-76.46081894710667,-76.46039157395631
94,0.0004273754374934808,-76.46138085816665,-76.46095348272915
95,0.0004274008613698561,-76.46110317945333,-76.46067577859196
96,0.0004273456147695966,-76.46191952091334,-76.46149217529857
97,0.0004273934809736348,-76.45942907362999,-76.45900168014902
98,0.00042741298876377973,-76.46182865133332,-76.46140123834455
99,0.00042742118177571426,-76.4630271644,-76.46259974321823
100,0.0004273914137878333,-76.46135899967,-76.4609316082562
101,0.00042741571360331224,-76.46314676275666,-76.46271934704306
102,0.000427432059946897,-76.46270866372,-76.46228123166004
103,0.00042732039492249593,-76.45961027986336,-76.45918295946844
